"","region","strategy_code","variable","future_id","value"
"145","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2015",0,0
"146","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2016",0,0
"147","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2017",0,0
"148","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2018",0,0
"149","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2019",0,0
"150","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2020",0,0
"151","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2021",0,0
"152","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2022",0,0
"153","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2023",0,0
"154","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:crop_value:crops_produced:vegetables_shifted2024",0,0
"155","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X",0,-154987227.028857
"156","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2015",0,0
"157","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2016",0,0
"158","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2017",0,0
"159","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2018",0,0
"160","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2019",0,0
"161","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2020",0,0
"162","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2021",0,0
"163","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2022",0,0
"164","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2023",0,0
"165","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:increase_productivity:X_shifted2024",0,0
"166","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X",0,-1671939.37676803
"167","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2015",0,0
"168","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2016",0,0
"169","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2017",0,0
"170","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2018",0,0
"171","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2019",0,0
"172","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2020",0,0
"173","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2021",0,0
"174","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2022",0,0
"175","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2023",0,0
"176","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:producer_food_waste:X_shifted2024",0,0
"177","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X",0,-38681731.657079
"178","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2015",0,0
"179","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2016",0,0
"180","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2017",0,0
"181","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2018",0,0
"182","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2019",0,0
"183","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2020",0,0
"184","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2021",0,0
"185","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2022",0,0
"186","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2023",0,0
"187","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_cost:rice_mgmt:X_shifted2024",0,0
"188","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_savings:cons_ag:X",0,369195676.88113
"189","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_savings:cons_ag:X_shifted2015",0,0
"190","tanzania","PFLO:ALL_NO_STOPPING_DEFORESTATION_PLUR","cb:agrc:technical_savings:cons_ag:X_shifted2016",0,0
